path,loc,username
Jogos/DeepSweammer/DeepSweammer_Data/level2,0,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/level3,0,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/level4,0,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/level5,0,Bubex
LICENSE,21,Bubex
MIT,24,Bubex
Procfile,1,Bubex
aspx,14864,Bubex
assets,0,Bubex
babelrc,3,Bubex
backend/node_modules/abbrev/LICENSE,46,Bubex
backend/node_modules/accepts/LICENSE,23,Bubex
backend/node_modules/anymatch/LICENSE,15,Bubex
backend/node_modules/axios/LICENSE,19,Bubex
backend/node_modules/bluebird/LICENSE,21,Bubex
backend/node_modules/boxen/license,9,Bubex
backend/node_modules/braces/LICENSE,21,Bubex
backend/node_modules/bytes/LICENSE,23,Bubex
backend/node_modules/camelcase/license,21,Bubex
backend/node_modules/chalk/license,9,Bubex
backend/node_modules/chokidar/LICENSE,21,Bubex
backend/node_modules/configstore/license,9,Bubex
backend/node_modules/cookie/LICENSE,24,Bubex
backend/node_modules/cors/LICENSE,22,Bubex
backend/node_modules/debug/LICENSE,19,Bubex
backend/node_modules/debug/Makefile,50,Bubex
backend/node_modules/depd/LICENSE,22,Bubex
backend/node_modules/destroy/LICENSE,22,Bubex
backend/node_modules/encodeurl/LICENSE,22,Bubex
backend/node_modules/etag/LICENSE,22,Bubex
backend/node_modules/execa/license,9,Bubex
backend/node_modules/express/LICENSE,24,Bubex
backend/node_modules/finalhandler/LICENSE,22,Bubex
backend/node_modules/forwarded/LICENSE,22,Bubex
backend/node_modules/fresh/LICENSE,23,Bubex
backend/node_modules/got/license,21,Bubex
backend/node_modules/inherits/LICENSE,16,Bubex
backend/node_modules/ini/LICENSE,15,Bubex
backend/node_modules/isexe/LICENSE,15,Bubex
backend/node_modules/kareem/LICENSE,202,Bubex
backend/node_modules/kareem/Makefile,5,Bubex
backend/node_modules/methods/LICENSE,24,Bubex
backend/node_modules/mime/LICENSE,21,Bubex
backend/node_modules/minimatch/LICENSE,15,Bubex
backend/node_modules/minimist/LICENSE,18,Bubex
backend/node_modules/mpath/LICENSE,22,Bubex
backend/node_modules/mpath/Makefile,4,Bubex
backend/node_modules/mquery/LICENSE,22,Bubex
backend/node_modules/mquery/Makefile,26,Bubex
backend/node_modules/mquery/node_modules/debug/LICENSE,19,Bubex
backend/node_modules/mquery/node_modules/debug/Makefile,58,Bubex
backend/node_modules/negotiator/LICENSE,24,Bubex
backend/node_modules/nodemon/LICENSE,21,Bubex
backend/node_modules/nodemon/node_modules/debug/LICENSE,19,Bubex
backend/node_modules/nopt/LICENSE,23,Bubex
backend/node_modules/parseurl/LICENSE,24,Bubex
backend/node_modules/picomatch/LICENSE,21,Bubex
backend/node_modules/pify/license,9,Bubex
backend/node_modules/pseudomap/LICENSE,15,Bubex
backend/node_modules/qs/LICENSE,28,Bubex
